1949	0.268
1950	.268
1951	.272
1952	.274
1953	.287
1954	.290
1955	.291
1956	.299
1957	.310
1958	.304
1959	.305
1960	.311
1961	.308
1962	.306
1963	.304
1964	.304
1965	.312
1966	.321
1967	.332
1968	.337
1969	.348
1970	.357
1971	.364
1972	.361
1973	.388
1974	.532
1975	.567
1976	.590
1977	.622
1978	.627
1979	.857
1980	1.191
1981	1.311
1982	1.222
1983	1.158
1984	1.129
1985	1.115
1986	.857
1987	.897
1988	.900
1989	.997
1990	1.149
